"Spiel-ID","Game-ID","Teamname","Gegner","Club","Spieler 1","Pins 1","Pins Gegner 1","EDV 1","Spieler 2","Pins 2","Pins Gegner 2","EDV 2","Spieler 3","Pins 3","Pins Gegner 3","EDV 3","Spieler 4","Pins 4","Pins Gegner 4","EDV 4","Pins Gesamt","Pins Gegner","Checksumme","check","Prüfnummer","Eintrags-ID","Datum des Eintrags","Aktualisierungsdatum"
"Spt5 - Werdenfels 1 - Sp.8","BAYL-M-585","Werdenfels 1","SG DJK Rimpar 1","BC Werdenfels","Kammermeier Maximilian","155","215","25822","Ring Michael","223","225","7317","Musiol Jan","209","198","25166","Hellmich Daniel","222","192","7314","809","830","207541","1","207541","31130","2026-03-01 12:57:42","2026-03-01 11:57:42"
"Spt5 - SG DJK Rimpar 1 - Sp.8","BAYL-M-585","SG DJK Rimpar 1","Werdenfels 1","DJK Rimpar","Kreß Michael","215","155","10622","Wunderlich Henning","225","223","38018","Weissenseel Marc","198","209","38723","Werder Jan-Uwe","192","222","16301","830","809","186995","1","186995","31129","2026-03-01 12:57:26","2026-03-01 11:57:26"
"Spt5 - BC Comet  - Sp.7","BAYL-M-574","BC Comet Nürnberg","BC EMAX Unterföhring 2","Comet","Schick Andreas","221","146","7102","Mittelmaier Andreas","181","191","16896","Schlick Christian","210","187","7724","Schlundt Michael","185","159","7725","797","683","330269","0","23571113","31128","2026-03-01 12:44:21","2026-03-01 17:52:31"
"Spt5 - BC Comet  - Sp.6","BAYL-M-562","BC Comet Nürnberg","SG DJK Rimpar 1","Comet","Schick Andreas","191","248","7102","Mittelmaier Andreas","171","201","16896","Schlick Christian","184","150","7724","Schlundt Michael","205","181","7725","751","780","985390","1","985390","31123","2026-03-01 12:21:10","2026-03-01 11:21:10"
"Spt5 - BC Comet  - Sp.5","BAYL-M-551","BC Comet Nürnberg","SG Rottendorf 1","Comet","Schick Andreas","190","162","7102","Mittelmaier Andreas","161","177","16896","Schlick Christian","156","184","7724","Schlundt Michael","171","193","7725","678","716","958902","1","958902","31121","2026-03-01 12:17:33","2026-03-01 11:17:33"
"Spt5 - Schanzer  1 - Sp.7","BAYL-M-572","Schanzer Ingolstadt 1","BK München 3","BC Schanzer Strikers","Schütze Oliver","165","180","38550","Kirschenbauer Frank","177","258","7344","Schmied Markus","175","193","38361","Spielvogel Jochen","187","268","7348","704","899","345398","1","345398","31112","2026-03-01 11:59:21","2026-03-01 10:59:21"
"Spt5 - BK München 3 - Sp.7","BAYL-M-572","BK München 3","Schanzer Ingolstadt 1","BK München","Börding Peter","180","165","7593","Börding Daniel","258","177","7591","Baszler Patrick","193","175","7886","Hinterwimmer Sebastian","268","187","7885","899","704","857206","1","857206","31110","2026-03-01 11:58:16","2026-03-01 10:58:16"
"Spt5 - Werdenfels 1 - Sp.7","BAYL-M-573","Werdenfels 1","Bowlinghaus Bamberg 1","BC Werdenfels","Kammermeier Maximilian","164","168","25822","Ring Michael","216","174","7317","Musiol Jan","211","209","25166","Hellmich Daniel","168","238","7314","759","789","419207","1","419207","31109","2026-03-01 11:54:26","2026-03-01 10:54:26"
"Spt5 - Bowlinghaus  1 - Sp.7","BAYL-M-573","Bowlinghaus Bamberg 1","Werdenfels 1","BC Bamberger Bowlinghaus","Nolan Jonathan","168","164","16873","Burghardt Mario","174","216","12248","Trapphardt Bernd","209","211","16559","Renner Alexander","238","168","16251","789","759","251526","1","251526","31108","2026-03-01 11:54:21","2026-03-01 10:54:21"
"Spt5 - Donaubowler  1 - Sp.7","BAYL-M-571","Donaubowler Regensburg 1","SG DJK Rimpar 1","BC Donau - Bowler","Radecker Sebastian","188","207","38025","Seltmann Dominik","180","193","25604","Hartfeil Volkmar","183","191","7830","Hürdler Marco","213","195","25271","764","786","245722","1","245722","31107","2026-03-01 11:53:09","2026-03-01 10:53:09"
"Spt5 - SG DJK Rimpar 1 - Sp.7","BAYL-M-571","SG DJK Rimpar 1","Donaubowler Regensburg 1","DJK Rimpar","Kreß Michael","207","188","10622","Wunderlich Henning","193","180","38018","Weissenseel Marc","191","183","38723","Werder Jan-Uwe","195","213","16301","786","764","564681","0","23571113","31106","2026-03-01 11:52:53","2026-03-01 17:49:42"
"Spt5 - BC EMAX  2 - Sp.7","BAYL-M-574","BC EMAX Unterföhring 2","BC Comet Nürnberg","BC EMAX","Fliegner Torsten","146","221","7418","Pirzer Robert","191","181","7428","Fliegner Selim","187","210","38673","Blasits Ernst","159","185","25554","683","797","189437","0","23571113","31105","2026-03-01 11:52:29","2026-03-01 10:52:29"
"Spt5 - Bajuwaren  1 - Sp.7","BAYL-M-575","Bajuwaren München 1","SG Rottendorf 1","BC Bajuwaren","Glasl Hans-Jürgen","280","200","7408","Lehmann Torsten","227","189","7411","Reichert Ralph","181","202","7416","Lüthje Volker","156","195","7601","844","786","674873","1","674873","31104","2026-03-01 11:51:45","2026-03-01 10:51:45"
"Spt5 - SG Rottendorf 1 - Sp.7","BAYL-M-575","SG Rottendorf 1","Bajuwaren München 1","SG-Rottendorf","Büttner Christian","200","280","16862","Reichardt Stefan","189","227","16945","Wörrlein Jonas","202","181","25199","Stemmler Patrick","195","156","16495","786","844","787298","1","787298","31103","2026-03-01 11:51:19","2026-03-01 10:51:19"
"Spt5 - BK München 3 - Sp.6","BAYL-M-564","BK München 3","Bowlinghaus Bamberg 1","BK München","Börding Peter","174","136","7593","Börding Daniel","191","188","7591","Baszler Patrick","210","197","7886","Hinterwimmer Sebastian","214","218","7885","789","739","107334","1","107334","31091","2026-03-01 11:08:41","2026-03-01 10:08:41"
"Spt5 - Donaubowler  1 - Sp.6","BAYL-M-563","Donaubowler Regensburg 1","SG Rottendorf 1","BC Donau - Bowler","Radecker Sebastian","159","206","38025","Seltmann Dominik","175","152","25604","Hartfeil Volkmar","183","199","7830","Hürdler Marco","208","246","25271","725","803","223386","1","223386","31090","2026-03-01 11:08:30","2026-03-01 10:08:30"
"Spt5 - SG Rottendorf 1 - Sp.6","BAYL-M-563","SG Rottendorf 1","Donaubowler Regensburg 1","SG-Rottendorf","Büttner Christian","206","159","16862","Reichardt Stefan","152","175","16945","Wörrlein Jonas","199","183","25199","Stemmler Patrick","246","208","16495","803","725","798433","1","798433","31089","2026-03-01 11:08:26","2026-03-01 10:08:26"
"Spt5 - Bowlinghaus  1 - Sp.6","BAYL-M-564","Bowlinghaus Bamberg 1","BK München 3","BC Bamberger Bowlinghaus","Karl William","136","174","16532","Burghardt Mario","188","191","12248","Trapphardt Bernd","197","210","16559","Renner Alexander","218","214","16251","739","789","155416","1","155416","31088","2026-03-01 11:08:25","2026-03-01 10:08:25"
"Spt5 - Bajuwaren  1 - Sp.6","BAYL-M-561","Bajuwaren München 1","Werdenfels 1","BC Bajuwaren","Glasl Hans-Jürgen","187","135","7408","Lehmann Torsten","171","201","7411","Reichert Ralph","169","167","7416","Lüthje Volker","187","232","7601","714","735","799818","1","799818","31087","2026-03-01 11:07:11","2026-03-01 10:07:11"
"Spt5 - Werdenfels 1 - Sp.6","BAYL-M-561","Werdenfels 1","Bajuwaren München 1","BC Werdenfels","Kammermeier Maximilian","135","187","25822","Ring Michael","201","171","7317","Kral Ewald","167","169","7309","Hellmich Daniel","232","187","7314","735","714","389747","1","389747","31086","2026-03-01 11:07:09","2026-03-01 10:07:09"
"Spt5 - Schanzer  1 - Sp.6","BAYL-M-565","Schanzer Ingolstadt 1","BC EMAX Unterföhring 2","BC Schanzer Strikers","Schütze Oliver","230","170","38550","Kirschenbauer Frank","154","209","7344","Schmied Markus","201","216","38361","Spielvogel Jochen","183","174","7348","768","769","673127","1","673127","31085","2026-03-01 11:06:56","2026-03-01 10:06:56"
"Spt5 - BC EMAX  2 - Sp.6","BAYL-M-565","BC EMAX Unterföhring 2","Schanzer Ingolstadt 1","BC EMAX","Fliegner Torsten","170","230","7418","Pirzer Robert","209","154","7428","Fliegner Selim","216","201","38673","Blasits Ernst","174","183","25554","769","768","864670","0","23571113","31084","2026-03-01 11:06:26","2026-03-01 10:06:26"
"Spt5 - SG DJK Rimpar 1 - Sp.6","BAYL-M-562","SG DJK Rimpar 1","BC Comet Nürnberg","DJK Rimpar","Kreß Michael","248","191","10622","Wunderlich Henning","201","171","38018","Scholz Alexander","150","184","16352","Werder Jan-Uwe","181","205","16301","780","751","173755","1","173755","31083","2026-03-01 11:05:55","2026-03-01 10:05:55"
"Spt5 - Schanzer  1 - Sp.5","BAYL-M-554","Schanzer Ingolstadt 1","SG DJK Rimpar 1","BC Schanzer Strikers","Schütze Oliver","215","258","38550","Kirschenbauer Frank","176","188","7344","Schmied Markus","182","188","38361","Spielvogel Jochen","231","168","7348","804","802","103268","0","23571113","31075","2026-03-01 10:20:14","2026-03-01 17:26:54"
"Spt5 - BK München 3 - Sp.5","BAYL-M-553","BK München 3","Bajuwaren München 1","BK München","Börding Peter","224","234","7593","Börding Daniel","185","185","7591","Baszler Patrick","250","184","7886","Hinterwimmer Sebastian","214","175","7885","873","778","480883","1","480883","31074","2026-03-01 10:19:34","2026-03-01 09:19:34"
"Spt5 - Donaubowler  1 - Sp.5","BAYL-M-555","Donaubowler Regensburg 1","Bowlinghaus Bamberg 1","BC Donau - Bowler","Feller Christian","132","233","16007","Seltmann Dominik","177","170","25604","Hartfeil Volkmar","232","216","7830","Hürdler Marco","176","211","25271","717","830","731683","1","731683","31072","2026-03-01 10:18:44","2026-03-01 09:18:44"
"Spt5 - BC EMAX  2 - Sp.5","BAYL-M-552","BC EMAX Unterföhring 2","Werdenfels 1","BC EMAX","Fliegner Torsten","146","201","7418","Pirzer Robert","214","171","7428","Fliegner Selim","164","189","38673","Blasits Ernst","176","197","25554","700","758","642870","1","642870","31071","2026-03-01 10:18:43","2026-03-01 09:18:43"
"Spt5 - Bowlinghaus  1 - Sp.5","BAYL-M-555","Bowlinghaus Bamberg 1","Donaubowler Regensburg 1","BC Bamberger Bowlinghaus","Karl William","233","132","16532","Burghardt Mario","170","177","12248","Trapphardt Bernd","216","232","16559","Renner Alexander","211","176","16251","830","717","149020","1","149020","31070","2026-03-01 10:18:24","2026-03-01 09:18:24"
"Spt5 - Werdenfels 1 - Sp.5","BAYL-M-552","Werdenfels 1","BC EMAX Unterföhring 2","BC Werdenfels","Kammermeier Maximilian","201","146","25822","Ring Michael","171","214","7317","Kral Ewald","189","164","7309","Hellmich Daniel","197","176","7314","758","700","276284","1","276284","31069","2026-03-01 10:18:21","2026-03-01 09:18:21"
"Spt5 - Bajuwaren  1 - Sp.5","BAYL-M-553","Bajuwaren München 1","BK München 3","BC Bajuwaren","Glasl Hans-Jürgen","234","224","7408","Lehmann Torsten","185","185","7411","Reichert Ralph","184","250","7416","Lüthje Volker","175","214","7601","778","873","961214","1","961214","31067","2026-03-01 10:17:49","2026-03-01 09:17:49"
"Spt5 - SG Rottendorf 1 - Sp.5","BAYL-M-551","SG Rottendorf 1","BC Comet Nürnberg","SG-Rottendorf","Büttner Christian","162","190","16862","Reichardt Stefan","177","161","16945","Wörrlein Jonas","184","156","25199","Stemmler Patrick","193","171","16495","716","678","915203","1","915203","31063","2026-03-01 10:16:03","2026-03-01 09:16:03"
"Spt5 - Donaubowler  1 - Sp.4","BAYL-M-542","Donaubowler Regensburg 1","BK München 3","BC Donau - Bowler","Feller Christian","188","207","16007","Hartfeil Volkmar","214","212","7830","Obermeier Kurt","193","214","7831","Hürdler Marco","190","212","25271","785","845","889345","1","889345","31061","2026-02-28 13:20:05","2026-02-28 12:20:05"
"Spt5 - BK München 3 - Sp.4","BAYL-M-542","BK München 3","Donaubowler Regensburg 1","BK München","Börding Peter","207","188","7593","Börding Daniel","212","214","7591","Baszler Patrick","214","193","7886","Hinterwimmer Sebastian","212","190","7885","845","785","781965","1","781965","31060","2026-02-28 13:19:53","2026-02-28 12:19:53"
"Spt5 - Bajuwaren  1 - Sp.4","BAYL-M-541","Bajuwaren München 1","Schanzer Ingolstadt 1","BC Bajuwaren","Glasl Hans-Jürgen","223","211","7408","Lehmann Torsten","159","236","7411","Reichert Ralph","191","197","7416","Lüthje Volker","169","193","7601","742","837","291194","0","23571113","31059","2026-02-28 13:18:33","2026-02-28 16:08:16"
"Spt5 - Schanzer  1 - Sp.4","BAYL-M-541","Schanzer Ingolstadt 1","Bajuwaren München 1","BC Schanzer Strikers","Schütze Oliver","211","223","38550","Kirschenbauer Frank","236","159","7344","Schmied Markus","197","191","38361","Spielvogel Jochen","193","169","7348","837","742","761722","1","761722","31058","2026-02-28 13:18:11","2026-02-28 12:18:11"
"Spt5 - BC EMAX  2 - Sp.4","BAYL-M-543","BC EMAX Unterföhring 2","SG DJK Rimpar 1","BC EMAX","Fliegner Torsten","156","179","7418","Pirzer Robert","192","256","7428","Fliegner Selim","186","170","38673","Blasits Ernst","159","212","25554","693","817","723475","1","723475","31057","2026-02-28 13:15:46","2026-02-28 12:15:46"
"Spt5 - SG DJK Rimpar 1 - Sp.4","BAYL-M-543","SG DJK Rimpar 1","BC EMAX Unterföhring 2","DJK Rimpar","Kreß Michael","179","156","10622","Wunderlich Henning","256","192","38018","Scholz Alexander","170","186","16352","Werder Jan-Uwe","212","159","16301","817","693","963767","1","963767","31056","2026-02-28 13:15:39","2026-02-28 12:15:39"
"Spt5 - BC Comet  - Sp.4","BAYL-M-545","BC Comet Nürnberg","Werdenfels 1","Comet","Schick Andreas","169","245","7102","Mittelmaier Andreas","226","194","16896","Schlick Christian","193","174","7724","Schlundt Michael","206","236","7725","794","849","387740","1","387740","31055","2026-02-28 13:12:30","2026-02-28 12:12:30"
"Spt5 - Werdenfels 1 - Sp.4","BAYL-M-545","Werdenfels 1","BC Comet Nürnberg","BC Werdenfels","Kammermeier Maximilian","245","169","25822","Musiol Jan","194","226","25166","Kral Ewald","174","193","7309","Hellmich Daniel","236","206","7314","849","794","159900","1","159900","31054","2026-02-28 13:12:30","2026-02-28 12:12:30"
"Spt5 - SG Rottendorf 1 - Sp.4","BAYL-M-544","SG Rottendorf 1","Bowlinghaus Bamberg 1","SG-Rottendorf","Büttner Christian","204","180","16862","Reichardt Stefan","208","179","16945","Wörrlein Jonas","196","248","25199","Stemmler Patrick","167","197","16495","775","804","759812","1","759812","31053","2026-02-28 13:10:50","2026-02-28 12:10:50"
"Spt5 - Bowlinghaus  1 - Sp.4","BAYL-M-544","Bowlinghaus Bamberg 1","SG Rottendorf 1","BC Bamberger Bowlinghaus","Karl William","180","204","16532","Burghardt Mario","179","208","12248","Trapphardt Bernd","248","196","16559","Renner Alexander","197","167","16251","804","775","284960","1","284960","31052","2026-02-28 13:10:07","2026-02-28 12:10:07"
"Spt5 - Bowlinghaus  1 - Sp.3","BAYL-M-532","Bowlinghaus Bamberg 1","Bajuwaren München 1","BC Bamberger Bowlinghaus","Karl William","203","204","16532","Nolan Jonathan","151","216","16873","Trapphardt Bernd","183","168","16559","Renner Alexander","170","171","16251","707","759","544728","1","544728","31051","2026-02-28 12:27:46","2026-02-28 11:27:46"
"Spt5 - Bajuwaren  1 - Sp.3","BAYL-M-532","Bajuwaren München 1","Bowlinghaus Bamberg 1","BC Bajuwaren","Glasl Hans-Jürgen","204","203","7408","Lehmann Torsten","216","151","7411","Reichert Ralph","168","183","7416","Lüthje Volker","171","170","7601","759","707","763936","1","763936","31050","2026-02-28 12:27:27","2026-02-28 11:27:27"
"Spt5 - SG DJK Rimpar 1 - Sp.3","BAYL-M-531","SG DJK Rimpar 1","BK München 3","DJK Rimpar","Kreß Michael","191","202","10622","Wunderlich Henning","192","210","38018","Scholz Alexander","220","197","16352","Werder Jan-Uwe","258","194","16301","861","803","864694","1","864694","31049","2026-02-28 12:26:55","2026-02-28 11:26:55"
"Spt5 - BK München 3 - Sp.3","BAYL-M-531","BK München 3","SG DJK Rimpar 1","BK München","Börding Peter","202","191","7593","Börding Daniel","210","192","7591","Baszler Patrick","197","220","7886","Hinterwimmer Sebastian","194","258","7885","803","861","356764","1","356764","31048","2026-02-28 12:26:53","2026-02-28 11:26:53"
"Spt5 - BC Comet  - Sp.3","BAYL-M-534","BC Comet Nürnberg","Donaubowler Regensburg 1","Comet","Schick Andreas","220","179","7102","Mittelmaier Andreas","202","160","16896","Schlick Christian","213","191","7724","Schlundt Michael","186","206","7725","821","736","648162","1","648162","31047","2026-02-28 12:25:58","2026-02-28 11:25:58"
"Spt5 - Donaubowler  1 - Sp.3","BAYL-M-534","Donaubowler Regensburg 1","BC Comet Nürnberg","BC Donau - Bowler","Feller Christian","179","220","16007","Radecker Sebastian","160","202","38025","Hartfeil Volkmar","191","213","7830","Hürdler Marco","206","186","25271","736","821","170254","1","170254","31046","2026-02-28 12:25:58","2026-02-28 11:25:58"
"Spt5 - Werdenfels 1 - Sp.3","BAYL-M-533","Werdenfels 1","Schanzer Ingolstadt 1","BC Werdenfels","Kammermeier Maximilian","183","246","25822","Musiol Jan","178","186","25166","Kral Ewald","230","175","7309","Hellmich Daniel","213","202","7314","804","809","132542","1","132542","31045","2026-02-28 12:25:50","2026-02-28 11:25:50"
"Spt5 - SG Rottendorf 1 - Sp.3","BAYL-M-535","SG Rottendorf 1","BC EMAX Unterföhring 2","SG-Rottendorf","Büttner Christian","249","189","16862","Reichardt Stefan","210","182","16945","Wörrlein Jonas","210","230","25199","Stemmler Patrick","214","179","16495","883","780","688000","1","688000","31044","2026-02-28 12:24:57","2026-02-28 11:24:57"
"Spt5 - BC EMAX  2 - Sp.3","BAYL-M-535","BC EMAX Unterföhring 2","SG Rottendorf 1","BC EMAX","Fliegner Torsten","189","249","7418","Pirzer Robert","182","210","7428","Fliegner Selim","230","210","38673","Blasits Ernst","179","214","25554","780","883","690953","1","690953","31043","2026-02-28 12:24:51","2026-02-28 11:24:51"
"Spt5 - Schanzer  1 - Sp.3","BAYL-M-533","Schanzer Ingolstadt 1","Werdenfels 1","BC Schanzer Strikers","Schütze Oliver","246","183","38550","Kirschenbauer Frank","186","178","7344","Schmied Markus","175","230","38361","Spielvogel Jochen","202","213","7348","809","804","246996","1","246996","31042","2026-02-28 12:24:48","2026-02-28 11:24:48"
"Spt5 - BC Comet  - Sp.2","BAYL-M-523","BC Comet Nürnberg","Bajuwaren München 1","Comet","Schick Andreas","236","203","7102","Mittelmaier Andreas","215","198","16896","Schlick Christian","226","284","7724","Schlundt Michael","195","128","7725","872","813","109220","1","109220","31041","2026-02-28 11:40:13","2026-02-28 10:40:13"
"Spt5 - SG Rottendorf 1 - Sp.2","BAYL-M-522","SG Rottendorf 1","Schanzer Ingolstadt 1","SG-Rottendorf","Büttner Christian","190","148","16862","Reichardt Stefan","184","198","16945","Wörrlein Jonas","191","210","25199","Stemmler Patrick","192","212","16495","757","768","566969","1","566969","31040","2026-02-28 11:39:46","2026-02-28 10:39:46"
"Spt5 - Bowlinghaus  1 - Sp.2","BAYL-M-525","Bowlinghaus Bamberg 1","SG DJK Rimpar 1","BC Bamberger Bowlinghaus","Karl William","199","213","16532","Nolan Jonathan","174","191","16873","Trapphardt Bernd","186","171","16559","Renner Alexander","225","191","16251","784","766","978676","1","978676","31039","2026-02-28 11:39:34","2026-02-28 10:39:34"
"Spt5 - SG DJK Rimpar 1 - Sp.2","BAYL-M-525","SG DJK Rimpar 1","Bowlinghaus Bamberg 1","DJK Rimpar","Kreß Michael","213","199","10622","Wunderlich Henning","191","174","38018","Scholz Alexander","171","186","16352","Werder Jan-Uwe","191","225","16301","766","784","625649","1","625649","31038","2026-02-28 11:39:31","2026-02-28 10:39:31"
"Spt5 - Schanzer  1 - Sp.2","BAYL-M-522","Schanzer Ingolstadt 1","SG Rottendorf 1","BC Schanzer Strikers","Schütze Oliver","148","190","38550","Kirschenbauer Frank","198","184","7344","Schmied Markus","210","191","38361","Spielvogel Jochen","212","192","7348","768","757","917968","1","917968","31037","2026-02-28 11:39:27","2026-02-28 10:39:27"
"Spt5 - BK München 3 - Sp.2","BAYL-M-524","BK München 3","Werdenfels 1","BK München","Börding Peter","207","186","7593","Börding Daniel","244","157","7591","Baszler Patrick","190","165","7886","Hinterwimmer Sebastian","248","214","7885","889","722","759467","1","759467","31036","2026-02-28 11:38:30","2026-02-28 10:38:30"
"Spt5 - Bajuwaren  1 - Sp.2","BAYL-M-523","Bajuwaren München 1","BC Comet Nürnberg","BC Bajuwaren","Glasl Hans-Jürgen","203","236","7408","Lehmann Torsten","198","215","7411","Reichert Ralph","284","226","7416","Lüthje Volker","128","195","7601","813","872","170018","1","170018","31035","2026-02-28 11:37:24","2026-02-28 10:37:24"
"Spt5 - Werdenfels 1 - Sp.2","BAYL-M-524","Werdenfels 1","BK München 3","BC Werdenfels","Kammermeier Maximilian","186","207","25822","Ring Michael","157","244","7317","Kral Ewald","165","190","7309","Hellmich Daniel","214","248","7314","722","889","633442","1","633442","31034","2026-02-28 11:37:02","2026-02-28 10:37:02"
